"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"17.11.2020 00:00 - 17.11.2020 00:15","0","0","","5635","5423","","17347","17650",""
"17.11.2020 00:15 - 17.11.2020 00:30","0","0","","5679","5430","","17192","17545",""
"17.11.2020 00:30 - 17.11.2020 00:45","0","0","","5722","5297","","17034","17416",""
"17.11.2020 00:45 - 17.11.2020 01:00","0","0","","5746","5251","","16869","17569",""
"17.11.2020 01:00 - 17.11.2020 01:15","0","0","","5789","5177","","16739","17452",""
"17.11.2020 01:15 - 17.11.2020 01:30","0","0","","5817","5159","","16619","17408",""
"17.11.2020 01:30 - 17.11.2020 01:45","0","0","","5844","5157","","16508","17344",""
"17.11.2020 01:45 - 17.11.2020 02:00","0","0","","5868","5176","","16410","17348",""
"17.11.2020 02:00 - 17.11.2020 02:15","0","0","","5894","5097","","16299","17561",""
"17.11.2020 02:15 - 17.11.2020 02:30","0","0","","5947","5238","","16171","17629",""
"17.11.2020 02:30 - 17.11.2020 02:45","0","0","","6007","5379","","16069","17276",""
"17.11.2020 02:45 - 17.11.2020 03:00","0","0","","6060","5552","","15987","16841",""
"17.11.2020 03:00 - 17.11.2020 03:15","0","0","","6120","5519","","15922","16662",""
"17.11.2020 03:15 - 17.11.2020 03:30","0","0","","6160","5421","","15903","16614",""
"17.11.2020 03:30 - 17.11.2020 03:45","0","0","","6206","5122","","15887","16444",""
"17.11.2020 03:45 - 17.11.2020 04:00","0","0","","6252","5216","","15876","16413",""
"17.11.2020 04:00 - 17.11.2020 04:15","0","0","","6292","5087","","15876","16247",""
"17.11.2020 04:15 - 17.11.2020 04:30","0","0","","6330","5177","","15902","16338",""
"17.11.2020 04:30 - 17.11.2020 04:45","0","0","","6357","5095","","15933","16403",""
"17.11.2020 04:45 - 17.11.2020 05:00","0","0","","6381","5251","","15966","16421",""
"17.11.2020 05:00 - 17.11.2020 05:15","0","0","","6393","5030","","16024","16593",""
"17.11.2020 05:15 - 17.11.2020 05:30","0","0","","6358","5097","","16159","16743",""
"17.11.2020 05:30 - 17.11.2020 05:45","0","0","","6377","5051","","16301","16924",""
"17.11.2020 05:45 - 17.11.2020 06:00","0","0","","6387","5063","","16441","17281",""
"17.11.2020 06:00 - 17.11.2020 06:15","0","0","","6348","5047","","16731","17521",""
"17.11.2020 06:15 - 17.11.2020 06:30","0","0","","6358","5125","","16882","17931",""
"17.11.2020 06:30 - 17.11.2020 06:45","0","0","","6363","5063","","17036","18339",""
"17.11.2020 06:45 - 17.11.2020 07:00","0","0","","6364","5057","","17173","18857",""
"17.11.2020 07:00 - 17.11.2020 07:15","1","0","","6363","5057","","17313","18970",""
"17.11.2020 07:15 - 17.11.2020 07:30","2","2","","6356","5120","","17493","19043",""
"17.11.2020 07:30 - 17.11.2020 07:45","43","44","","6353","5080","","17694","19135",""
"17.11.2020 07:45 - 17.11.2020 08:00","290","258","","6345","5048","","17895","19409",""
"17.11.2020 08:00 - 17.11.2020 08:15","571","557","","6325","5103","","18091","19811",""
"17.11.2020 08:15 - 17.11.2020 08:30","991","975","","6306","5165","","18279","19991",""
"17.11.2020 08:30 - 17.11.2020 08:45","1507","1456","","6290","5206","","18448","19989",""
"17.11.2020 08:45 - 17.11.2020 09:00","2060","1988","","6271","5241","","18602","19967",""
"17.11.2020 09:00 - 17.11.2020 09:15","2603","2511","","6249","5271","","18739","20069",""
"17.11.2020 09:15 - 17.11.2020 09:30","3164","3031","","6234","5290","","18858","20212",""
"17.11.2020 09:30 - 17.11.2020 09:45","3718","3527","","6226","5312","","18982","20347",""
"17.11.2020 09:45 - 17.11.2020 10:00","4262","3979","","6209","5338","","19104","20519",""
"17.11.2020 10:00 - 17.11.2020 10:15","4732","4367","","6203","5371","","19206","20650",""
"17.11.2020 10:15 - 17.11.2020 10:30","5149","4721","","6202","5565","","19236","20782",""
"17.11.2020 10:30 - 17.11.2020 10:45","5496","5001","","6207","5589","","19269","20880",""
"17.11.2020 10:45 - 17.11.2020 11:00","5778","5219","","6210","5618","","19312","20988",""
"17.11.2020 11:00 - 17.11.2020 11:15","5987","5364","","6213","5644","","19335","21069",""
"17.11.2020 11:15 - 17.11.2020 11:30","6134","5461","","6234","5678","","19442","21221",""
"17.11.2020 11:30 - 17.11.2020 11:45","6209","5500","","6259","5716","","19545","21380",""
"17.11.2020 11:45 - 17.11.2020 12:00","6211","5516","","6279","5752","","19646","21559",""
"17.11.2020 12:00 - 17.11.2020 12:15","6150","5491","","6302","5781","","19729","21702",""
"17.11.2020 12:15 - 17.11.2020 12:30","6031","5416","","6311","5822","","19784","21824",""
"17.11.2020 12:30 - 17.11.2020 12:45","5853","5311","","6322","5859","","19829","21919",""
"17.11.2020 12:45 - 17.11.2020 13:00","5623","5130","","6335","5897","","19864","22026",""
"17.11.2020 13:00 - 17.11.2020 13:15","5376","4928","","6345","5940","","19872","21919",""
"17.11.2020 13:15 - 17.11.2020 13:30","5126","4696","","6367","5970","","19841","21892",""
"17.11.2020 13:30 - 17.11.2020 13:45","4786","4423","","6383","6080","","19785","21835",""
"17.11.2020 13:45 - 17.11.2020 14:00","4422","4097","","6402","6192","","19712","21754",""
"17.11.2020 14:00 - 17.11.2020 14:15","4023","3685","","6420","6215","","19628","21672",""
"17.11.2020 14:15 - 17.11.2020 14:30","3564","3269","","6426","6230","","19525","21555",""
"17.11.2020 14:30 - 17.11.2020 14:45","3072","2822","","6428","6244","","19395","21392",""
"17.11.2020 14:45 - 17.11.2020 15:00","2562","2358","","6431","6256","","19268","21228",""
"17.11.2020 15:00 - 17.11.2020 15:15","2066","1894","","6433","6406","","19164","21077",""
"17.11.2020 15:15 - 17.11.2020 15:30","1555","1413","","6438","6410","","19073","20926",""
"17.11.2020 15:30 - 17.11.2020 15:45","1100","988","","6439","6416","","18982","20771",""
"17.11.2020 15:45 - 17.11.2020 16:00","709","611","","6441","6425","","18892","20604",""
"17.11.2020 16:00 - 17.11.2020 16:15","413","332","","6442","6428","","18828","20466",""
"17.11.2020 16:15 - 17.11.2020 16:30","178","142","","6441","6431","","18802","20385",""
"17.11.2020 16:30 - 17.11.2020 16:45","28","20","","6441","6437","","18775","20305",""
"17.11.2020 16:45 - 17.11.2020 17:00","7","5","","6438","6443","","18745","20227",""
"17.11.2020 17:00 - 17.11.2020 17:15","0","0","","6437","6444","","18730","20156",""
"17.11.2020 17:15 - 17.11.2020 17:30","0","0","","6444","6448","","18733","20103",""
"17.11.2020 17:30 - 17.11.2020 17:45","0","0","","6458","6453","","18734","20038",""
"17.11.2020 17:45 - 17.11.2020 18:00","0","0","","6463","6457","","18737","19977",""
"17.11.2020 18:00 - 17.11.2020 18:15","0","0","","6469","6458","","18744","19925",""
"17.11.2020 18:15 - 17.11.2020 18:30","0","0","","6473","6457","","18759","19881",""
"17.11.2020 18:30 - 17.11.2020 18:45","0","0","","6475","6451","","18781","19838",""
"17.11.2020 18:45 - 17.11.2020 19:00","0","0","","6475","6451","","18826","19788",""
"17.11.2020 19:00 - 17.11.2020 19:15","0","0","","6478","6449","","18849","19736",""
"17.11.2020 19:15 - 17.11.2020 19:30","0","0","","6471","6451","","18829","19679",""
"17.11.2020 19:30 - 17.11.2020 19:45","0","0","","6473","6452","","18785","19619",""
"17.11.2020 19:45 - 17.11.2020 20:00","0","0","","6471","6449","","18728","19550",""
"17.11.2020 20:00 - 17.11.2020 20:15","0","0","","6470","6453","","18651","19458",""
"17.11.2020 20:15 - 17.11.2020 20:30","0","0","","6469","6453","","18557","19341",""
"17.11.2020 20:30 - 17.11.2020 20:45","0","0","","6467","6454","","18448","19213",""
"17.11.2020 20:45 - 17.11.2020 21:00","0","0","","6464","6458","","18340","19086",""
"17.11.2020 21:00 - 17.11.2020 21:15","0","0","","6459","6456","","18218","18957",""
"17.11.2020 21:15 - 17.11.2020 21:30","0","0","","6462","6454","","18065","18834",""
"17.11.2020 21:30 - 17.11.2020 21:45","0","0","","6461","6450","","17908","18710",""
"17.11.2020 21:45 - 17.11.2020 22:00","0","0","","6461","6448","","17746","18583",""
"17.11.2020 22:00 - 17.11.2020 22:15","0","0","","6528","6516","","17309","18235",""
"17.11.2020 22:15 - 17.11.2020 22:30","0","0","","6523","6513","","17114","18032",""
"17.11.2020 22:30 - 17.11.2020 22:45","0","0","","6519","6517","","16916","17828",""
"17.11.2020 22:45 - 17.11.2020 23:00","0","0","","6513","6525","","16718","17624",""
"17.11.2020 23:00 - 17.11.2020 23:15","0","0","","6508","6521","","16538","17426",""
"17.11.2020 23:15 - 17.11.2020 23:30","0","0","","6501","6517","","16378","17208",""
"17.11.2020 23:30 - 17.11.2020 23:45","0","0","","6496","6514","","16208","16981",""
"17.11.2020 23:45 - 18.11.2020 00:00","0","0","","6493","6512","","16035","16757",""
